Chart1_SeriesGroup5_label,Chart1_SeriesGroup5__label,Chart1_SeriesGroup5__Value_X,Chart1_SeriesGroup5__Value_Y
Community Health,,Community Health,2075081123.37
Culture & Recreation,,Culture & Recreation,322740537.50
General Administration & Finance,,General Administration & Finance,2946377946.10
General City Responsibilities,,General City Responsibilities,172044641.31
Human Welfare & Neighborhood Development,,Human Welfare & Neighborhood Development,1890555228.87
Public Protection,,Public Protection,1442370681.37
"Public Works, Transportation & Commerce",,"Public Works, Transportation & Commerce",4801154223.68

Chart1_SeriesGroup2_label,Chart1_SeriesGroup2_Line_Chart_CategoryGroup_label,Chart1_SeriesGroup2_Line_Chart_CategoryGroup_Value_X,Chart1_SeriesGroup2_Line_Chart_CategoryGroup_Value_Y
Community Health,2021,2021,2075081123.37
Culture & Recreation,2021,2021,322740537.50
General Administration & Finance,2021,2021,2946377946.10
General City Responsibilities,2021,2021,172044641.31
Human Welfare & Neighborhood Development,2021,2021,1890555228.87
Public Protection,2021,2021,1442370681.37
"Public Works, Transportation & Commerce",2021,2021,4801154223.68

Textbox29,Textbox36,Org_Group2,Textbox55,Org_Grand_Total2,CY_Elim3,Net_Total2
Group,"2020-2021
Amount",Community Health,"$2,075,081,123","$13,650,324,382","($1,640,218,980)","$12,010,105,402"
Group,"2020-2021
Amount",Culture & Recreation,"$322,740,538","$13,650,324,382","($1,640,218,980)","$12,010,105,402"
Group,"2020-2021
Amount",General Administration & Finance,"$2,946,377,946","$13,650,324,382","($1,640,218,980)","$12,010,105,402"
Group,"2020-2021
Amount",General City Responsibilities,"$172,044,641","$13,650,324,382","($1,640,218,980)","$12,010,105,402"
Group,"2020-2021
Amount",Human Welfare & Neighborhood Development,"$1,890,555,229","$13,650,324,382","($1,640,218,980)","$12,010,105,402"
Group,"2020-2021
Amount",Public Protection,"$1,442,370,681","$13,650,324,382","($1,640,218,980)","$12,010,105,402"
Group,"2020-2021
Amount","Public Works, Transportation & Commerce","$4,801,154,224","$13,650,324,382","($1,640,218,980)","$12,010,105,402"

