Chart1_SeriesGroup5_label,Chart1_SeriesGroup5__label,Chart1_SeriesGroup5__Value_X,Chart1_SeriesGroup5__Value_Y
Community Health,,Community Health,2132444331.42
Culture & Recreation,,Culture & Recreation,389839288.24
General Administration & Finance,,General Administration & Finance,3238198613.77
General City Responsibilities,,General City Responsibilities,587043438.60
Human Welfare & Neighborhood Development,,Human Welfare & Neighborhood Development,1823096990.86
Public Protection,,Public Protection,1529075705.64
"Public Works, Transportation & Commerce",,"Public Works, Transportation & Commerce",6178112954.94

Chart1_SeriesGroup2_label,Chart1_SeriesGroup2_Line_Chart_CategoryGroup_label,Chart1_SeriesGroup2_Line_Chart_CategoryGroup_Value_X,Chart1_SeriesGroup2_Line_Chart_CategoryGroup_Value_Y
Community Health,2018,2018,2132444331.42
Culture & Recreation,2018,2018,389839288.24
General Administration & Finance,2018,2018,3238198613.77
General City Responsibilities,2018,2018,587043438.60
Human Welfare & Neighborhood Development,2018,2018,1823096990.86
Public Protection,2018,2018,1529075705.64
"Public Works, Transportation & Commerce",2018,2018,6178112954.94

Textbox29,Textbox36,Org_Group2,Textbox55,Org_Grand_Total2,CY_Elim3,Net_Total2
Group,"2017-2018
Amount",Community Health,"$2,132,444,331","$15,877,811,323","($1,774,251,238)","$14,103,560,086"
Group,"2017-2018
Amount",Culture & Recreation,"$389,839,288","$15,877,811,323","($1,774,251,238)","$14,103,560,086"
Group,"2017-2018
Amount",General Administration & Finance,"$3,238,198,614","$15,877,811,323","($1,774,251,238)","$14,103,560,086"
Group,"2017-2018
Amount",General City Responsibilities,"$587,043,439","$15,877,811,323","($1,774,251,238)","$14,103,560,086"
Group,"2017-2018
Amount",Human Welfare & Neighborhood Development,"$1,823,096,991","$15,877,811,323","($1,774,251,238)","$14,103,560,086"
Group,"2017-2018
Amount",Public Protection,"$1,529,075,706","$15,877,811,323","($1,774,251,238)","$14,103,560,086"
Group,"2017-2018
Amount","Public Works, Transportation & Commerce","$6,178,112,955","$15,877,811,323","($1,774,251,238)","$14,103,560,086"

