ID,Court Number 1,Court Number 2,Court Number 3,Court Number 4,Case Type,Jury Sworn Date,Trial End Date,Co-Defendant,Trial Length Days,Convicted,Concluded,Trial Outcome,Crime Description
878,16015073,,,,Felony,2017/06/12,2017/07/06,Y,24,Convicted,Concluded,Convicted,Attempted Homicid
879,15001271,,,,Felony,2017/05/30,2017/07/06,N,37,Convicted,Concluded,Convicted,Homicide
880,17006976,,,,Misdemeanor,2017/06/29,2017/07/07,N,8,Not Convicted,Not Concluded,Mistrial,Assault-Misdemean
881,11002471,,,,Felony,2017/06/26,2017/07/07,N,11,Convicted,Concluded,Convicted,Robbery
882,17005273,,,,Misdemeanor,2017/07/03,2017/07/07,N,4,Not Convicted,Not Concluded,Mistrial,Hit and Run
883,17004961,,,,Felony,2017/06/29,2017/07/11,N,12,Convicted,Concluded,Convicted,Assault-Felony
884,17002412,,,,Felony,2017/07/06,2017/07/17,N,11,Not Convicted,Not Concluded,Mistrial,Evading
885,17008685,,,,Felony,2017/07/13,2017/07/17,N,4,Not Convicted,Not Concluded,Mistrial,Vandalism
886,17001606,,,,Felony,2017/07/13,2017/07/18,N,5,Convicted,Concluded,Convicted,Auto Theft
887,17003971,,,,Felony,2017/07/14,2017/07/19,N,5,Not Convicted,Not Concluded,Mistrial,Narcotics
888,2498144,,,,Misdemeanor,2017/07/13,2017/07/19,N,6,Convicted,Concluded,Convicted,DUI
889,17003614,,,,Misdemeanor,2017/07/20,2017/07/25,N,5,Not Convicted,Not Concluded,Mistrial,DUI
890,15008215,,,,Felony,2017/07/19,2017/07/26,N,7,Convicted,Concluded,Convicted,Assault-Felony
891,16004926,,,,Felony,2017/07/24,2017/07/26,N,2,Convicted,Concluded,Convicted,Gun-Felony
892,17002885,,,,Misdemeanor,2017/07/25,2017/07/27,N,2,Convicted,Concluded,Convicted,DUI
893,17002813,,,,Felony,2017/07/17,2017/07/28,N,11,Not Convicted,Concluded,Not Convicted,Sexual Assault
894,16019018,,,,Misdemeanor,2017/07/27,2017/07/31,N,4,Convicted,Concluded,Convicted,Gun-Misdemeanor
895,2500807,,,,Misdemeanor,2017/07/25,2017/07/31,N,6,Convicted,Concluded,Convicted,DUI
896,17003871,,,,Misdemeanor,2017/07/20,2017/08/02,N,13,Convicted,Concluded,Convicted,DUI
897,17001009,,,,Misdemeanor,2017/07/31,2017/08/03,N,3,Not Convicted,Not Concluded,Mistrial,Narcotics
898,2501401,,,,Misdemeanor,2017/07/26,2017/08/04,N,9,Not Convicted,Not Concluded,Mistrial,Theft- Non-Auto
899,16002040,,,,Felony,2017/05/15,2017/08/07,N,84,Convicted,Concluded,Convicted,Evading
900,15007399,,,,Misdemeanor,2017/07/31,2017/08/07,N,7,Not Convicted,Not Concluded,Mistrial,Gun-Misdemeanor
901,17006594,,,,Misdemeanor,2017/08/03,2017/08/09,N,6,Convicted,Concluded,Convicted,DUI
902,17004359,,,,Felony,2017/08/02,2017/08/11,N,9,Convicted,Concluded,Convicted,Assault-Felony
903,2500609,,,,Misdemeanor,2017/08/09,2017/08/14,N,5,Convicted,Concluded,Convicted,Assault-Misdemean
904,17006949,,,,Misdemeanor,2017/08/09,2017/08/15,N,6,Not Convicted,Not Concluded,Mistrial,DUI
905,17007865,,,,Misdemeanor,2017/08/08,2017/08/15,N,7,Convicted,Concluded,Convicted,Threats
906,17002872,,,,Misdemeanor,2017/08/14,2017/08/17,N,3,Convicted,Concluded,Convicted,DUI
907,16010004,,,,Misdemeanor,2017/08/16,2017/08/21,N,5,Not Convicted,Concluded,Not Convicted,Gun-Misdemeanor
908,17003586,,,,Misdemeanor,2017/08/17,2017/08/22,N,5,Convicted,Concluded,Convicted,Gun-Misdemeanor
909,2500322,,,,Misdemeanor,2017/08/15,2017/08/23,N,8,Convicted,Concluded,Convicted,Assault-Misdemean
910,16019292,,,,Felony,2017/08/01,2017/08/24,N,23,Convicted,Concluded,Convicted,Child Sexual Abus
911,16015117,,,,Felony,2017/06/08,2017/08/28,N,81,Convicted,Concluded,Convicted,Attempted Homicid
912,2496813,,,,Misdemeanor,2017/08/24,2017/08/30,N,6,Convicted,Concluded,Convicted,Gun-Misdemeanor
913,17003954,,,,Felony,2017/08/21,2017/08/30,N,9,Convicted,Concluded,Convicted,Elder Abuse-Physi
914,16016428,,,,Felony,2017/08/24,2017/09/05,N,12,Convicted,Concluded,Convicted,Assault-Felony
915,16009191,,,,Felony,2017/08/16,2017/09/05,N,20,Convicted,Concluded,Convicted,Assault-Felony
916,14015006,,,,Felony,2017/08/04,2017/09/07,N,34,Not Convicted,Not Concluded,Mistrial,Sexual Assault
917,17005952,,,,Felony,2017/07/27,2017/09/11,N,46,Convicted,Concluded,Convicted,Assault-Felony
918,2501535,,,,Misdemeanor,2017/08/31,2017/09/12,N,12,Convicted,Concluded,Convicted,Assault-Misdemean
919,16000457,,,,Felony,2017/08/30,2017/09/14,N,15,Convicted,Concluded,Convicted,Homicide
920,17007556,,,,Felony,2017/09/05,2017/09/14,N,9,Convicted,Concluded,Convicted,Assault-Felony
921,15007908,,,,Misdemeanor,2017/09/12,2017/09/18,N,6,Convicted,Concluded,Convicted,Child Sexual Abus
922,17009935,,,,Misdemeanor,2017/09/12,2017/09/18,N,6,Convicted,Concluded,Convicted,Assault-Misdemean
923,16017722,,,,Felony,2017/09/11,2017/09/18,N,7,Convicted,Concluded,Convicted,Indecent Exposure
924,2492776,,,,Misdemeanor,2017/09/18,2017/09/19,N,1,Convicted,Concluded,Convicted,Vandalism
925,17011139,,,,Felony,2017/09/08,2017/09/20,N,12,Not Convicted,Concluded,Not Convicted,Assault-Felony
926,2501772,,,,Misdemeanor,2017/09/19,2017/09/20,N,1,Convicted,Concluded,Convicted,Hit and Run
927,2504119,,,,Misdemeanor,2017/09/18,2017/09/20,N,2,Convicted,Concluded,Convicted,Vandalism
928,17009584,,,,Misdemeanor,2017/09/19,2017/09/22,N,3,Convicted,Concluded,Convicted,DUI
929,16016521,,,,Misdemeanor,2017/09/25,2017/09/29,N,4,Convicted,Concluded,Convicted,DUI
930,2278952,,,,Felony,2017/09/26,2017/09/29,N,3,Convicted,Concluded,Convicted,NA
931,16018091,,,,Misdemeanor,2017/09/25,2017/09/29,N,4,Convicted,Concluded,Convicted,Gun-Misdemeanor
932,17003479,,,,Misdemeanor,2017/09/25,2017/09/29,N,4,Not Convicted,Concluded,Not Convicted,DUI
933,16009775,,,,Felony,2017/08/28,2017/10/10,Y,43,Convicted,Concluded,Convicted,Carjacking
934,16009791,,,,Felony,2017/08/28,2017/10/10,Y,43,Convicted,Concluded,Convicted,Carjacking
935,2495828,,,,Misdemeanor,2017/10/04,2017/10/10,N,6,Convicted,Concluded,Convicted,DUI
936,17007274,,,,Misdemeanor,2017/10/05,2017/10/10,N,5,Not Convicted,Not Concluded,Mistrial,Assault-Misdemean
937,16009776,,,,Felony,2017/08/28,2017/10/10,Y,43,Convicted,Concluded,Convicted,Carjacking
938,2502690,,,,Misdemeanor,2017/10/11,2017/10/17,N,6,Convicted,Concluded,Convicted,Assault-Misdemean
939,17006417,,,,Misdemeanor,2017/10/16,2017/10/18,N,2,Convicted,Concluded,Convicted,DUI
940,17013283,,,,Misdemeanor,2017/10/12,2017/10/18,N,6,Convicted,Concluded,Convicted,DUI
941,17007817,,,,Felony,2017/10/11,2017/10/18,N,7,Convicted,Concluded,Convicted,Burglary-Auto
942,15005747,,,,Felony,2017/09/27,2017/10/18,N,21,Convicted,Concluded,Convicted,Homicide
943,16015726,,,,Felony,2017/10/12,2017/10/19,N,7,Not Convicted,Not Concluded,Mistrial,Threats
944,16015900,,,,Felony,2017/10/18,2017/10/23,N,5,Convicted,Concluded,Convicted,Conversion
945,2493972,,,,Misdemeanor,2017/10/17,2017/10/23,N,6,Not Convicted,Not Concluded,Mistrial,Assault-Misdemean
946,16008784,,,,Felony,2017/10/18,2017/10/23,N,5,Convicted,Concluded,Convicted,Burglary-Resident
947,17005836,17005008,17005890,,Misdemeanor,2017/10/03,2017/10/24,N,21,Convicted,Concluded,Convicted,Assault-Misdemean
948,15011363,,,,Felony,2017/09/26,2017/10/25,N,29,Convicted,Concluded,Convicted,Sexual Assault
949,14026737,,,,Misdemeanor,2017/10/23,2017/10/25,N,2,Convicted,Concluded,Convicted,DUI
950,17005761,,,,Felony,2017/10/10,2017/10/26,N,16,Not Convicted,Concluded,Not Convicted,Assault-Felony
951,17007134,,,,Misdemeanor,2017/10/25,2017/10/30,N,5,Convicted,Concluded,Convicted,DUI
952,16018028,,,,Felony,2017/10/23,2017/10/31,N,8,Not Convicted,Concluded,Not Convicted,Assault-Felony
953,17000217,,,,Misdemeanor,2017/10/25,2017/10/31,N,6,Not Convicted,Concluded,Not Convicted,Assault-Misdemean
954,16019991,,,,Felony,2017/10/26,2017/11/01,N,6,Convicted,Concluded,Convicted,Gun-Felony
955,10027769,,,,Felony,2017/09/28,2017/11/01,N,34,Convicted,Concluded,Convicted,NA
956,16020655,16021456,,,Felony,2017/10/26,2017/11/06,N,11,Convicted,Concluded,Convicted,Narcotics
957,17006845,,,,Misdemeanor,2017/11/01,2017/11/07,N,6,Convicted,Concluded,Convicted,DUI
958,17005823,,,,Misdemeanor,2017/11/01,2017/11/08,N,7,Convicted,Concluded,Convicted,DUI
959,17007602,,,,Misdemeanor,2017/11/09,2017/11/09,N,0,Convicted,Concluded,Convicted,Robbery 2nd Degre
960,16017455,,,,Felony,2017/11/07,2017/11/13,N,6,Convicted,Concluded,Convicted,Assault-Felony
961,16002428,,,,Felony,2017/10/26,2017/11/14,N,19,Convicted,Concluded,Convicted,Attempted Homicid
962,63229,,,,Felony,2017/10/24,2017/11/16,N,23,Not Convicted,Not Concluded,Mistrial,NA
963,17008234,,,,Misdemeanor,2017/11/13,2017/11/16,N,3,Convicted,Concluded,Convicted,DUI
964,17003989,,,,Felony,2017/11/07,2017/11/16,N,9,Convicted,Concluded,Convicted,Robbery 2nd Degre
965,17008917,,,,Misdemeanor,2017/11/07,2017/11/17,N,10,Convicted,Concluded,Convicted,DUI
966,17013080,,,,Misdemeanor,2017/11/13,2017/11/17,N,4,Convicted,Concluded,Convicted,Stay Away Violati
967,17008932,,,,Felony,2017/11/15,2017/11/21,N,6,Convicted,Concluded,Convicted,Assault-Felony
968,16000116,,,,Felony,2017/11/17,2017/11/27,N,10,Convicted,Concluded,Convicted,Burglary-Commerci
969,17003678,,,,Misdemeanor,2017/11/21,2017/11/29,N,8,Convicted,Concluded,Convicted,DUI
970,17012194,,,,Misdemeanor,2017/11/22,2017/11/29,N,7,Convicted,Concluded,Convicted,DUI
971,15014736,,,,Felony,2017/10/18,2017/11/30,N,43,Convicted,Concluded,Convicted,Homicide
972,16021267,,,,Misdemeanor,2017/11/06,2017/12/04,N,28,Convicted,Concluded,Convicted,Child Sexual Abus
973,17011934,,,,Felony,2017/11/20,2017/12/05,N,15,Not Convicted,Concluded,Not Convicted,Assault-Felony
974,15025774,,,,Felony,2017/11/27,2017/12/06,N,9,Convicted,Concluded,Convicted,Child Endangermen
975,17007525,,,,Felony,2017/11/28,2017/12/06,N,8,Convicted,Concluded,Convicted,Burglary-Resident
976,12006702,,,,Felony,2017/11/16,2017/12/07,N,21,Convicted,Concluded,Convicted,Robbery
977,12008150,,,,Felony,2017/10/04,2017/12/11,N,68,Convicted,Concluded,Convicted,Homicide
978,16008164,,,,Felony,2017/12/01,2017/12/13,N,12,Convicted,Concluded,Convicted,Fraud-Other
979,16001539,,,,Misdemeanor,2017/12/07,2017/12/13,N,6,Convicted,Concluded,Convicted,Hit and Run
980,17012466,,,,Felony,2017/12/04,2017/12/13,N,9,Convicted,Concluded,Convicted,Gun-Felony
981,13023941,,,,Felony,2017/12/12,2017/12/14,N,2,Convicted,Concluded,Convicted,Robbery 1st Degre
982,17004238,,,,Felony,2017/12/06,2017/12/14,N,8,Not Convicted,Concluded,Not Convicted,Assault-Felony
983,17011377,,,,Felony,2017/11/20,2017/12/14,N,24,Convicted,Concluded,Convicted,Threats
984,16009422,,,,Felony,2017/12/06,2017/12/18,N,12,Convicted,Concluded,Convicted,Elder Abuse-Physi
985,16000473,,,,Misdemeanor,2017/12/11,2017/12/18,N,7,Not Convicted,Not Concluded,Mistrial,DUI
986,16001923,,,,Misdemeanor,2017/12/11,2017/12/18,N,7,Convicted,Concluded,Convicted,Assault-Misdemean
987,17014147,,,,Misdemeanor,2017/12/11,2017/12/19,N,8,Convicted,Concluded,Convicted,Vandalism
988,17016138,17008617,17014476,,Misdemeanor,2017/12/12,2017/12/19,N,7,Convicted,Concluded,Convicted,Stay Away Violati
989,15004793,,,,Felony,2017/10/17,2017/12/20,Y,64,Not Convicted,Concluded,Not Convicted,Attempted Homicid
990,15004693,,,,Felony,2017/10/17,2017/12/20,Y,64,Convicted,Concluded,Convicted,Attempted Homicid
991,2498445,,,,Misdemeanor,2017/12/19,2017/12/20,N,1,Convicted,Concluded,Convicted,14601/14602: Susp
992,17009846,,,,Misdemeanor,2017/12/18,2017/12/21,N,3,Convicted,Concluded,Convicted,Hit and Run
993,16003768,,,,Felony,2017/12/04,2017/12/22,N,18,Not Convicted,Not Concluded,Mistrial,Sexual Assault
994,14003212,,,,Felony,2017/12/05,2017/12/27,N,22,Not Convicted,Not Concluded,Mistrial,Robbery
